GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RecruitmentSystem,view,JobManager,79,0,6,0,19,0,8,0,5,0
RecruitmentSystem,view,LoginManager,122,0,10,0,31,0,16,0,11,0
RecruitmentSystem,view,Competence,15,0,0,0,6,0,3,0,3,0
RecruitmentSystem,view,RegisterManager,183,0,8,0,63,0,30,0,26,0
RecruitmentSystem,view,ApplicationManager,784,0,48,0,184,0,59,0,35,0
RecruitmentSystem,view,LocaleManager,26,0,0,0,8,0,5,0,5,0
RecruitmentSystem,controller,Controller,66,0,0,0,11,0,11,0,11,0
RecruitmentSystem,integration,ApplicationDAO,238,0,4,0,47,0,10,0,8,0
RecruitmentSystem,integration,RegisterDAO,115,0,2,0,24,0,4,0,3,0
RecruitmentSystem,integration,JobDAO,35,0,0,0,8,0,3,0,3,0
RecruitmentSystem,model,Competence_Localized,82,0,4,0,24,0,14,0,12,0
RecruitmentSystem,model,Application_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Status_Localized_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Job_Localized,82,0,4,0,24,0,14,0,12,0
RecruitmentSystem,model,Locale_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,UserRole,85,0,12,0,21,0,16,0,10,0
RecruitmentSystem,model,Job_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Status,47,0,4,0,10,0,7,0,5,0
RecruitmentSystem,model,Availability_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,UserRole_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Job_Localized_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Person,115,0,4,0,39,0,21,0,19,0
RecruitmentSystem,model,Locale,60,0,4,0,16,0,10,0,8,0
RecruitmentSystem,model,Status_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Competence_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Job,47,0,4,0,10,0,7,0,5,0
RecruitmentSystem,model,Competence,47,0,4,0,10,0,7,0,5,0
RecruitmentSystem,model,Availability,81,0,4,0,24,0,14,0,12,0
RecruitmentSystem,model,Competence_Localized_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Competence_Profile,82,0,4,0,24,0,14,0,12,0
RecruitmentSystem,model,Application,93,0,4,0,29,0,16,0,14,0
RecruitmentSystem,model,Status_Localized,82,0,4,0,24,0,14,0,12,0
RecruitmentSystem,model,RoleType,41,10,4,0,8,5,5,3,3,3
RecruitmentSystem,model,Competence_Profile_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,Person_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,model,RoleType_,3,0,0,0,1,0,1,0,1,0
RecruitmentSystem,view.validators,ValidEmail.EmailValidator,37,0,8,0,11,0,8,0,4,0
RecruitmentSystem,view.validators,ValidYear.YearValidator,60,0,16,0,18,0,12,0,4,0
RecruitmentSystem,view.validators,ValidSSN.SSNValidator,41,0,10,0,12,0,9,0,4,0
